Date,DailyVolume,DailyReturn
18/7/2011,1752220000,-0.008850076
19/7/2011,1882760000,0.022208849
20/7/2011,1863670000,-0.004348117
21/7/2011,2284150000,0.00717779
22/7/2011,1665220000,0.008608484
25/7/2011,1613240000,-0.005607199
26/7/2011,1739980000,-0.000999046
27/7/2011,2367470000,-0.026468656
28/7/2011,2067020000,0.000528055
29/7/2011,2301210000,-0.00356805
1/8/2011,2209790000,-0.004270012
2/8/2011,2377250000,-0.027461138
3/8/2011,2601310000,0.008927664
4/8/2011,3272990000,-0.050752551
5/8/2011,3750150000,-0.009380408
8/8/2011,3987990000,-0.068993558
9/8/2011,3803050000,0.052945927
10/8/2011,3397010000,-0.040873778
11/8/2011,3134140000,0.046882628
12/8/2011,2232470000,0.006137991
15/8/2011,1945850000,0.01882789
16/8/2011,2074370000,-0.012425642
17/8/2011,1913320000,-0.004743495
18/8/2011,2775580000,-0.052180407
19/8/2011,2385300000,-0.016211292
22/8/2011,1957230000,0.001511544
23/8/2011,2147270000,0.042927023
24/8/2011,1888640000,0.008842744
25/8/2011,1789230000,-0.019475728
26/8/2011,1852130000,0.024888193
29/8/2011,1615510000,0.033171363
30/8/2011,1871800000,0.005464246
31/8/2011,1995490000,0.001300354
1/9/2011,1742440000,-0.01295617
2/9/2011,1571530000,-0.025808691
6/9/2011,1737170000,-0.002620619
7/9/2011,1791480000,0.030361771
8/9/2011,1979990000,-0.007767954
9/9/2011,2054190000,-0.024178142
12/9/2011,1980350000,0.010980635
13/9/2011,1931390000,0.014853097
14/9/2011,2323770000,0.01595488
15/9/2011,1967730000,0.0134186
16/9/2011,2703730000,0.005845639
19/9/2011,1891770000,-0.003615126
20/9/2011,1914990000,-0.008645831
21/9/2011,2172030000,-0.020094682
22/9/2011,2919330000,-0.032511365
23/9/2011,1975200000,0.01122303
26/9/2011,1982710000,0.013474371
27/9/2011,2095620000,0.011976103
28/9/2011,1929310000,-0.021693634
29/9/2011,2290370000,-0.004342653
30/9/2011,2041370000,-0.026346808
3/10/2011,2547690000,-0.032942712
4/10/2011,3040940000,0.029535535
5/10/2011,2472400000,0.023157634
6/10/2011,2249140000,0.018821325
7/10/2011,2084900000,-0.010958094
10/10/2011,1574750000,0.034968821
11/10/2011,1661400000,0.006617166
12/10/2011,1967190000,0.008400967
13/10/2011,1675220000,0.005954556
14/10/2011,1664350000,0.018170133
17/10/2011,1675210000,-0.019840011
18/10/2011,1931690000,0.016256716
19/10/2011,1980180000,-0.0200908
20/10/2011,2040180000,-0.002081351
21/10/2011,2019950000,0.014946334
24/10/2011,1884450000,0.023499875
25/10/2011,1777770000,-0.022604696
26/10/2011,2118650000,0.00464293
27/10/2011,2810680000,0.033184049
28/10/2011,1838530000,-0.000540409
31/10/2011,1772560000,-0.019268214
1/11/2011,2294220000,-0.02885176
2/11/2011,1921790000,0.012666101
3/11/2011,2106240000,0.021966072
4/11/2011,1930750000,-0.004381097
7/11/2011,1712700000,0.003387785
8/11/2011,1850270000,0.011961781
9/11/2011,2144160000,-0.038804941
10/11/2011,1892390000,0.001335037
11/11/2011,1602640000,0.020417919
14/11/2011,1401710000,-0.008037342
15/11/2011,1706960000,0.010906128
16/11/2011,1950030000,-0.017344146
17/11/2011,2197320000,-0.019555963
18/11/2011,1755360000,-0.005985336
21/11/2011,2048520000,-0.019187602
22/11/2011,1792060000,-0.000737123
23/11/2011,1707770000,-0.024273365
25/11/2011,691750000,-0.007548562
28/11/2011,1626060000,0.035154506
29/11/2011,1623550000,-0.004680841
30/11/2011,2440960000,0.041673489
1/12/2011,1826860000,0.002236299
2/12/2011,1662730000,0.000277961
5/12/2011,1686660000,0.010974818
6/12/2011,1491130000,-0.00233453
7/12/2011,1658010000,-0.000132134
8/12/2011,1845640000,-0.019941824
9/12/2011,1664710000,0.019438687
12/12/2011,1572600000,-0.013068397
13/12/2011,1752320000,-0.012628907
14/12/2011,1793960000,-0.01549274
15/12/2011,1748400000,0.000669454
16/12/2011,2664690000,0.005635581
19/12/2011,1560110000,-0.012597271
20/12/2011,1835720000,0.031940396
21/12/2011,1853710000,-0.009893502
22/12/2011,1515610000,0.00833213
23/12/2011,960940000,0.007382309
27/12/2011,945590000,0.002505139
28/12/2011,1069930000,-0.01341611
29/12/2011,1011380000,0.00917382
30/12/2011,1056790000,-0.003286512
3/1/2012,1636850000,0.016724592
4/1/2012,1670530000,-0.000135863
5/1/2012,1836410000,0.008118231
6/1/2012,1683090000,0.001632993
9/1/2012,1768080000,0.000875054
10/1/2012,1809500000,0.009691522
11/1/2012,1699660000,0.003056433
12/1/2012,1669550000,0.005142447
13/1/2012,1655960000,-0.005149201
17/1/2012,1664210000,0.006422824
18/1/2012,1968940000,0.015259773
19/1/2012,1959950000,0.006722768
20/1/2012,1949660000,-0.000584625
23/1/2012,1652940000,-0.000907894
24/1/2012,1620690000,0.000887148
25/1/2012,1918040000,0.011365001
26/1/2012,1998970000,-0.004623349
27/1/2012,1707350000,0.004017431
30/1/2012,1668970000,-0.001636793
31/1/2012,1786550000,0.000675742
1/2/2012,2125720000,0.012235923
2/2/2012,1913430000,0.00400591
3/2/2012,2152890000,0.016078715
6/2/2012,1684490000,-0.001263025
7/2/2012,1784580000,0.000720226
8/2/2012,1981150000,0.004056372
9/2/2012,2153090000,0.00389932
10/2/2012,1787640000,-0.007976858
13/2/2012,1619980000,0.009473536
14/2/2012,1881630000,0.000150163
15/2/2012,2038980000,-0.005457342
16/2/2012,1945230000,0.015096909
17/2/2012,1973900000,-0.002726513
21/2/2012,1821540000,-0.001087466
22/2/2012,1706310000,-0.00522292
23/2/2012,1768390000,0.008117517
24/2/2012,1643180000,0.002289505
27/2/2012,1763650000,0.000813129
28/2/2012,1812490000,0.00694504
29/2/2012,2170190000,-0.006652733
1/3/2012,1903690000,0.007442163
2/3/2012,1755130000,-0.00427573
5/3/2012,1679030000,-0.008638548
6/3/2012,1870720000,-0.013611315
7/3/2012,1589360000,0.008717211
8/3/2012,1619740000,0.011830262
9/3/2012,1580560000,0.006032873
12/3/2012,1341660000,-0.001566146
13/3/2012,1709900000,0.01884262
14/3/2012,1662300000,0.000279648
15/3/2012,1677540000,0.005143547
16/3/2012,2088610000,-0.000363211
19/3/2012,1548400000,0.007547658
20/3/2012,1508580000,-0.001354689
21/3/2012,1552400000,0.000380647
22/3/2012,1524800000,-0.003902033
23/3/2012,1428940000,0.001501591
26/3/2012,1627520000,0.01781342
27/3/2012,1662460000,-0.000710943
28/3/2012,1765680000,-0.004932183
29/3/2012,1756160000,-0.00309178
30/3/2012,1833130000,-0.001224426
2/4/2012,1768210000,0.009098899
3/4/2012,1804950000,-0.001964895
4/4/2012,1813150000,-0.01460702
5/4/2012,1548040000,0.004044833
9/4/2012,1371140000,-0.010848863
10/4/2012,1953600000,-0.01833234
11/4/2012,1540890000,0.008438025
12/4/2012,1480340000,0.012958928
13/4/2012,1483850000,-0.014472017
16/4/2012,1594320000,-0.007614634
17/4/2012,1555070000,0.01821047
18/4/2012,1599470000,-0.003736704
19/4/2012,1991120000,-0.007880682
20/4/2012,1935880000,-0.002364078
23/4/2012,1767360000,-0.0099985
24/4/2012,1690840000,-0.002979297
25/4/2012,1721330000,0.022970618
26/4/2012,1763510000,0.006925012
27/4/2012,1777750000,0.006093812
30/4/2012,1633170000,-0.007441628
1/5/2012,1854230000,0.001339249
2/5/2012,1825190000,0.003084852
3/5/2012,1869130000,-0.011618232
4/5/2012,1944010000,-0.022471302
7/5/2012,1740430000,0.000480297
8/5/2012,2175840000,-0.003884693
9/5/2012,2047090000,-0.003923625
10/5/2012,2004150000,-0.000364625
11/5/2012,1735380000,6.14169E-05
14/5/2012,1683460000,-0.01064823
15/5/2012,1826210000,-0.003038699
16/5/2012,1933900000,-0.006814653
17/5/2012,2016980000,-0.02099835
18/5/2012,2692450000,-0.012403606
21/5/2012,1870420000,0.024622199
22/5/2012,1861850000,-0.002855386
23/5/2012,1929640000,0.003888597
24/5/2012,1750290000,-0.003768344
25/5/2012,1282680000,-0.000651499
29/5/2012,221430000,0.011791932
30/5/2012,1671040000,-0.011713689
31/5/2012,2180130000,-0.003531458
1/6/2012,1966370000,-0.028245667
4/6/2012,1755750000,0.004560554
5/6/2012,1625600000,0.006557982
6/6/2012,1761050000,0.023976683
7/6/2012,1655370000,-0.004815923
8/6/2012,1390260000,0.009678456
11/6/2012,1480220000,-0.017033866
12/6/2012,1594310000,0.01186594
13/6/2012,1602080000,-0.008603362
14/6/2012,1633370000,0.006286776
15/6/2012,2020100000,0.012858155
18/6/2012,1586190000,0.007842533
19/6/2012,1835480000,0.01189154
20/6/2012,1563080000,0.000235494
21/6/2012,1822200000,-0.024351163
22/6/2012,3544010000,0.011657497
25/6/2012,1514430000,-0.019450844
26/6/2012,1623160000,0.006311403
27/6/2012,1668580000,0.007449041
28/6/2012,1795850000,-0.008983375
29/6/2012,2021190000,0.030026447
2/7/2012,1845240000,0.005512659
3/7/2012,1009330000,0.008420251
5/7/2012,1423990000,1.34536E-05
6/7/2012,1437420000,-0.013033761
9/7/2012,1455500000,-0.001892895
10/7/2012,1725730000,-0.010041696
11/7/2012,1635120000,-0.004944337
12/7/2012,1719460000,-0.00754508
13/7/2012,1373620000,0.014751301
16/7/2012,1414470000,-0.003964294
17/7/2012,1774160000,0.004522047
18/7/2012,1817040000,0.01118887
19/7/2012,1735920000,0.007918101
20/7/2012,1810420000,-0.013688882
23/7/2012,1607140000,-0.012015912
24/7/2012,1748410000,-0.009397406
25/7/2012,1784150000,-0.003056245
26/7/2012,1981520000,0.01366739
27/7/2012,2102610000,0.022410814
30/7/2012,1483990000,-0.004141186
31/7/2012,1801440000,-0.002145421
1/8/2012,1722530000,-0.00656912
2/8/2012,1822620000,-0.003575065
3/8/2012,1730210000,0.019977483
6/8/2012,1528260000,0.007416022
7/8/2012,1899240000,0.008679256
8/8/2012,1874580000,-0.001528621
9/8/2012,1677970000,0.002454095
10/8/2012,1556460000,0.000735501
13/8/2012,1353380000,0.000549484
14/8/2012,1567830000,-0.001832921
15/8/2012,1536730000,0.004623813
16/8/2012,1937430000,0.01037964
17/8/2012,1640640000,0.004636965
20/8/2012,1451550000,-0.000123555
21/8/2012,1574220000,-0.002909408
22/8/2012,1459130000,0.002089784
23/8/2012,1383860000,-0.006594729
24/8/2012,1349740000,0.005367832
27/8/2012,1383530000,0.001107536
28/8/2012,1364740000,0.001285294
29/8/2012,1282900000,0.001316173
30/8/2012,1216640000,-0.010541375
31/8/2012,1394760000,0.005986138
4/9/2012,1505960000,0.002641084
5/9/2012,1495030000,-0.001882903
6/9/2012,1918900000,0.021679435
7/9/2012,1740640000,0.000194483
10/9/2012,1575370000,-0.010330218
11/9/2012,1586250000,0.000164306
12/9/2012,1689140000,0.003150245
13/9/2012,1870050000,0.013332012
14/9/2012,1984720000,0.008910452
17/9/2012,1485390000,-0.001658327
18/9/2012,1707200000,-0.000273659
19/9/2012,1850920000,0.001516794
20/9/2012,1809130000,-0.002092664
21/9/2012,2526250000,0.001259462
24/9/2012,1704860000,-0.006031501
25/9/2012,1975470000,-0.013620071
26/9/2012,1738010000,-0.00770754
27/9/2012,1691800000,0.013866939
28/9/2012,1864640000,-0.006494331
1/10/2012,1758170000,-0.000866416
2/10/2012,1609570000,0.002090878
3/10/2012,1704050000,0.004868508
4/10/2012,1585190000,0.004538736
5/10/2012,1607940000,-0.004213427
8/10/2012,1186260000,-0.00760153
9/10/2012,1645740000,-0.015207183
10/10/2012,1788970000,-0.004319708
11/10/2012,1595020000,-0.000776634
12/10/2012,1524840000,-0.001737977
15/10/2012,1563440000,0.006593002
16/10/2012,1736930000,0.012071742
17/10/2012,1770920000,0.000951317
18/10/2012,2043290000,-0.010067265
19/10/2012,2225580000,-0.021885077
22/10/2012,1654130000,0.00377288
23/10/2012,1830840000,-0.008783676
24/10/2012,1967000000,-0.002929319
25/10/2012,1922660000,0.001482432
26/10/2012,1839700000,0.00061278
31/10/2012,1806780000,-0.003587734
1/11/2012,1880140000,0.014385882
2/11/2012,1834590000,-0.012559411
5/11/2012,1496210000,0.005878359
6/11/2012,1782430000,0.00409047
7/11/2012,2059690000,-0.024781417
8/11/2012,1876420000,-0.014200151
9/11/2012,1802580000,0.003208352
12/11/2012,1379240000,-0.000213475
13/11/2012,1816260000,-0.007010453
14/11/2012,2106590000,-0.012857576
15/11/2012,2010300000,-0.00346708
16/11/2012,2187730000,0.005706833
19/11/2012,1767240000,0.022060049
20/11/2012,1588750000,0.000209139
21/11/2012,1430060000,0.003384025
23/11/2012,792750000,0.013770497
26/11/2012,1641710000,0.003346961
27/11/2012,1763320000,-0.003020038
28/11/2012,1725550000,0.008083453
29/11/2012,1758440000,0.006768546
30/11/2012,2194240000,-0.000594297
3/12/2012,1667330000,-0.002670896
4/12/2012,1781760000,-0.001835324
5/12/2012,1800820000,-0.007671795
